0.992,0,122,39,46,314,0
0.85,0,175,98,67,98,0
0.841,0,203,131,101,134,0
0.868,0,212,110,119,300,0
0.843,0,186,111,80,158,0
0.999,0,218,136,120,314,0
0.856,0,100,61,53,238,0
0.859,0,166,92,104,306,0
0.836,0,215,112,120,230,0
0.0,0,181,109,114,76,0
0.783,0,163,82,75,108,0
0.297,0,185,91,93,222,0
0.759,0,147,84,70,156,0
0.993,0,209,115,129,314,0
0.846,0,199,98,87,166,0
0.775,0,192,104,98,166,0
0.452,0,174,93,101,70,0
0.639,0,173,124,94,100,0
0.738,0,188,94,101,266,0
0.897,0,208,105,94,164,0
0.872,0,203,127,103,194,0
0.65,0,7,1,1,274,0
0.992,0,205,111,131,314,0
0.644,0,184,113,95,138,0
0.608,0,194,101,73,158,0
0.57,0,221,122,136,300,0
0.988,0,107,30,37,314,0
0.883,0,6,3,2,210,0
0.958,0,188,103,114,314,0
0.497,0,160,68,52,84,0
0.896,0,129,76,63,88,0
0.932,0,122,64,63,110,0
0.663,0,181,74,78,282,0
0.998,0,149,47,46,314,0
0.672,0,188,91,88,294,0
0.83,0,201,105,120,300,0
0.726,0,215,117,130,264,0
0.87,0,196,92,97,280,0
0.995,0,129,39,32,314,0
0.653,0,214,115,112,186,0
0.756,0,214,113,113,252,0
0.958,0,203,115,121,312,0
0.485,0,210,119,115,272,0
0.487,0,205,106,96,202,0
0.988,0,101,28,29,314,0
0.289,0,189,111,107,136,0
0.928,0,212,113,109,154,0
0.711,0,128,71,40,58,0
0.886,0,189,76,77,204,0
0.316,0,205,120,130,282,0
0.635,0,176,106,94,222,0
0.999,0,177,65,57,314,0
0.0,0,183,117,109,66,0
0.998,0,209,115,109,314,0
0.61,0,190,92,83,146,0
0.703,0,150,82,50,62,0
0.273,0,128,85,71,32,0
0.002,0,183,107,119,110,0
0.231,0,124,73,62,32,0
0.986,0,211,128,115,314,0
0.541,0,209,116,122,310,0
0.783,0,175,112,93,180,0
0.486,0,136,87,75,60,0
0.885,0,166,87,99,190,0
0.661,0,206,110,104,248,0
0.652,0,126,73,63,70,0
0.17,0,88,51,52,180,0
0.882,0,186,110,103,86,0
0.3,0,171,94,94,74,0
0.961,0,198,120,112,314,0
0.859,0,142,70,68,136,0
0.749,0,214,115,124,232,0
0.273,0,195,100,95,200,0
0.634,0,169,74,67,192,0
0.235,0,202,116,124,270,0
0.999,0,189,69,76,314,0
0.689,0,210,114,101,172,0
0.674,0,214,117,129,278,0
0.876,0,231,151,128,302,0
0.849,0,193,97,106,206,0
0.999,0,207,114,102,314,0
0.809,0,172,68,91,122,0
0.61,0,146,77,56,104,0
0.98,0,199,98,95,314,0
0.673,0,209,104,106,276,0
0.742,0,138,82,65,98,0
0.926,0,213,127,119,314,0
0.444,0,200,108,92,92,0
0.851,0,178,85,98,140,0
1.0,0,223,134,109,314,0
0.0,0,31,20,16,24,0
0.778,0,163,75,74,188,0
0.504,0,169,74,85,248,0
0.477,0,160,107,88,208,0
0.611,0,216,112,107,260,0
0.151,0,186,90,104,140,0
0.965,0,212,115,122,314,0
0.59,0,223,119,125,192,0
0.729,0,177,85,84,128,0
0.0,0,168,76,74,134,0
0.707,0,187,95,87,186,0
0.894,0,211,116,117,314,0
0.687,0,204,109,98,284,0
0.854,0,191,98,98,168,0
0.827,0,103,61,37,64,0
0.852,0,214,113,122,278,0
0.9,0,212,123,115,302,0
0.795,0,186,117,106,220,0
0.179,0,191,109,122,198,0
0.714,0,123,64,44,56,0
0.893,0,224,131,124,314,0
0.594,0,200,109,94,90,0
0.661,0,153,90,80,214,0
0.783,0,204,99,113,226,0
0.979,0,125,39,40,314,0
0.714,0,153,90,55,106,0
0.868,0,166,77,83,168,0
0.76,0,185,83,84,260,0
0.351,0,175,80,90,108,0
0.857,0,205,107,101,226,0
0.544,0,213,114,110,160,0
0.782,0,165,102,83,176,0
0.603,0,115,58,58,80,0
0.996,0,228,112,127,314,0
0.801,0,162,84,71,66,0
0.919,0,81,17,23,314,0
0.995,0,213,120,117,314,0
0.761,0,189,84,81,158,0
0.103,0,103,69,58,24,0
0.36,0,173,86,100,252,0
0.414,0,223,130,118,100,0
0.544,0,124,49,47,26,0
0.808,0,10,2,3,284,0
0.001,0,191,88,85,92,0
0.92,0,209,113,122,314,0
0.999,0,158,59,52,314,0
0.0,0,129,91,69,16,0
0.954,0,216,134,124,306,0
0.787,0,201,91,98,188,0
0.918,0,213,121,119,314,0
0.717,0,147,83,78,82,0
0.466,0,220,121,114,242,0
0.651,0,156,73,70,94,0
0.881,0,203,91,111,280,0
0.072,0,24,14,13,86,0
0.867,0,192,99,111,282,0
0.287,0,180,84,103,282,0
0.579,0,210,112,102,212,0
1.0,0,201,103,88,314,0
0.652,0,153,95,71,176,0
0.934,0,111,28,35,314,0
0.811,0,189,88,88,150,0
0.861,0,141,69,47,164,0
0.0,0,172,115,99,14,0
0.745,0,187,86,81,242,0
0.803,0,214,119,133,152,0
0.244,0,193,93,89,142,0
0.896,0,207,101,111,298,0
1.0,0,216,106,125,314,0
0.915,0,163,82,78,304,0
0.977,0,226,127,130,314,0
0.859,0,159,88,80,122,0
0.999,0,170,59,56,314,0
0.767,0,147,69,62,142,0
0.908,0,149,74,56,126,0
0.924,0,170,71,70,168,0
0.0,0,204,141,121,10,0
0.879,0,160,95,76,114,0
0.928,0,220,125,130,314,0
0.909,0,150,87,69,232,0
0.727,0,193,94,97,102,0
0.664,0,202,106,104,108,0
0.747,0,218,119,140,256,0
0.832,0,166,73,77,182,0
0.873,0,168,86,86,182,0
0.308,0,162,98,68,42,0
0.862,0,162,84,93,164,0
0.527,0,136,68,82,100,0
0.012,0,128,75,76,166,0
0.468,0,207,98,88,78,0
0.903,0,165,91,90,238,0
0.431,0,160,91,90,186,0
0.632,0,155,61,57,182,0
0.991,0,195,79,74,314,0
0.0,0,55,38,31,14,0
0.69,0,218,132,115,276,0
0.995,0,209,120,114,314,0
0.878,0,192,83,87,220,0
0.796,0,194,88,85,204,0
0.0,0,130,81,79,24,0
0.822,0,210,130,89,190,0
0.567,0,211,119,135,222,0
0.76,0,199,107,109,306,0
0.85,0,160,94,75,116,0
0.332,0,216,124,119,278,0
0.509,0,183,82,78,238,0
0.236,0,168,105,95,168,0
0.966,0,215,119,140,314,0
0.477,0,174,108,78,190,0
